split,variant,accuracy,f1,precision,recall,roc_auc,pr_auc,threshold
validation,uncalibrated,0.8994,0.7435,0.5917,0.9821,0.9680,0.9243,0.47
test,uncalibrated,0.8994,0.5809,0.4152,0.8767,0.9680,0.7934,0.47
validation,temperature,0.9677,0.8473,0.8078,0.8905,0.9680,0.9235,0.80
test,temperature,0.9120,0.6684,0.5385,0.8767,0.9680,0.7934,0.80
validation,platt,0.9680,0.8485,0.8115,0.8856,0.9680,0.9238,0.80
test,platt,0.9138,0.6714,0.5447,0.8728,0.9680,0.7934,0.80
validation,isotonic,0.9684,0.8487,0.8175,0.8826,0.9680,0.9243,0.80
test,isotonic,0.9152,0.6719,0.5498,0.8668,0.9680,0.7934,0.80
